iso3,country,language,web_pct,primary,primary_web_share_total_pct,all_listed_share_total_pct
AFG,Afghanistan,Dari (Afghan Persian),0.7,1,0.7349,0.7349
AFG,Afghanistan,Pashto,0.0039,1,0.7349,0.7349
AFG,Afghanistan,Uzbek,0.031,1,0.7349,0.7349
AFG,Afghanistan,Turkmen,,1,0.7349,0.7349
AFG,Afghanistan,Balochi,,1,0.7349,0.7349
AFG,Afghanistan,Nuristani,,1,0.7349,0.7349
AFG,Afghanistan,Pashayi,,1,0.7349,0.7349
ARG,Argentina,Spanish,4.64,1,4.6418,4.6418
ARG,Argentina,Quechua,0.0009,1,4.6418,4.6418
ARG,Argentina,Guarani,0.0008,1,4.6418,4.6418
ARG,Argentina,Aymara,0.0001,1,4.6418,4.6418
ARG,Argentina,Mapudungun,,1,4.6418,4.6418
ARG,Argentina,Wichi,,1,4.6418,4.6418
ARG,Argentina,Chana,,1,4.6418,4.6418
ARG,Argentina,Argentine Sign Language,,1,4.6418,4.6418
AUS,Australia,English,40.58,1,40.58,40.58
AUS,Australia,Kriol,,1,40.58,40.58
AUS,Australia,Yumplatok (Torres Strait Creole),,1,40.58,40.58
AUS,Australia,Pitjantjatjara,,1,40.58,40.58
AUS,Australia,Warlpiri,,1,40.58,40.58
AUS,Australia,Djambarrpuyngu,,1,40.58,40.58
AUS,Australia,Tiwi,,1,40.58,40.58
AUS,Australia,Murrinh Patha,,1,40.58,40.58
BEL,Belgium,Dutch,1.82,1,12.61,12.61
BEL,Belgium,French,4.8,1,12.61,12.61
BEL,Belgium,German,5.99,1,12.61,12.61
BEL,Belgium,Walloon,,1,12.61,12.61
BEL,Belgium,West Flemish,,1,12.61,12.61
BEL,Belgium,Limburgish,,1,12.61,12.61
BEL,Belgium,Picard,,1,12.61,12.61
BEL,Belgium,Brabantian,,1,12.61,12.61
BGD,Bangladesh,Bengali (Bangla),0.11,1,0.11,0.11
BGD,Bangladesh,Chakma,,1,0.11,0.11
BGD,Bangladesh,Santali,,1,0.11,0.11
BGD,Bangladesh,Garo,,1,0.11,0.11
BGD,Bangladesh,Tripuri,,1,0.11,0.11
BGD,Bangladesh,Mizo,,1,0.11,0.11
BGD,Bangladesh,Khasi,,1,0.11,0.11
BGD,Bangladesh,Sadri,,1,0.11,0.11
BOL,Bolivia,Spanish,4.64,1,4.641,4.6418
BOL,Bolivia,Quechua,0.0009,1,4.641,4.6418
BOL,Bolivia,Aymara,0.0001,1,4.641,4.6418
BOL,Bolivia,Guarani,0.0008,0,4.641,4.6418
BRA,Brazil,Portuguese,2.52,1,2.52,2.52
BRA,Brazil,Ticuna,,1,2.52,2.52
BRA,Brazil,Kaingang,,1,2.52,2.52
BRA,Brazil,Kaiwa Guarani,,1,2.52,2.52
BRA,Brazil,Nheengatu,,1,2.52,2.52
BRA,Brazil,Guajajara,,1,2.52,2.52
BRA,Brazil,Terena,,1,2.52,2.52
BRA,Brazil,Brazilian Sign Language (Libras),,1,2.52,2.52
CAN,Canada,English,40.58,1,45.38,45.38
CAN,Canada,French,4.8,1,45.38,45.38
CAN,Canada,Cree,,1,45.38,45.38
CAN,Canada,Inuktitut,,1,45.38,45.38
CAN,Canada,Ojibwe,,1,45.38,45.38
CAN,Canada,Oji-Cree,,1,45.38,45.38
CAN,Canada,Dene Suline,,1,45.38,45.38
CAN,Canada,Mi'kmaq,,1,45.38,45.38
CHE,Switzerland,German,5.99,1,13.28,13.28
CHE,Switzerland,French,4.8,1,13.28,13.28
CHE,Switzerland,Italian,2.49,1,13.28,13.28
CHE,Switzerland,Romansh,,1,13.28,13.28
CHE,Switzerland,Franco-Provencal,,1,13.28,13.28
CHE,Switzerland,Walser German,,1,13.28,13.28
CHE,Switzerland,Lombard,,1,13.28,13.28
CHL,Chile,Spanish,4.64,1,4.641,4.641
CHL,Chile,Mapudungun,,1,4.641,4.641
CHL,Chile,Aymara,0.0001,1,4.641,4.641
CHL,Chile,Rapa Nui,,1,4.641,4.641
CHL,Chile,Chilean Quechua,0.0009,1,4.641,4.641
CHL,Chile,Kunza,,1,4.641,4.641
CHL,Chile,Yaghan,,1,4.641,4.641
CHN,China,Standard Mandarin (Chinese),4.43,1,4.4341,4.4341
CHN,China,Cantonese (Yue),,1,4.4341,4.4341
CHN,China,Wu,,1,4.4341,4.4341
CHN,China,Min,,1,4.4341,4.4341
CHN,China,Hakka,,1,4.4341,4.4341
CHN,China,Zhuang,,1,4.4341,4.4341
CHN,China,Tibetan,0.0012,1,4.4341,4.4341
CHN,China,Uyghur,0.0029,1,4.4341,4.4341
CIV,Cote d'Ivoire,French,4.8,0,0,4.8
CIV,Cote d'Ivoire,Baoule,,1,0,4.8
CIV,Cote d'Ivoire,Bete,,1,0,4.8
CIV,Cote d'Ivoire,Senari (Senufo),,1,0,4.8
CIV,Cote d'Ivoire,Dan,,1,0,4.8
CIV,Cote d'Ivoire,Anyin,,1,0,4.8
CIV,Cote d'Ivoire,Guere,,1,0,4.8
CIV,Cote d'Ivoire,Guro,,1,0,4.8
CMR,Cameroon,French,4.8,0,0,45.38
CMR,Cameroon,English,40.58,0,0,45.38
CMR,Cameroon,Ewondo,,1,0,45.38
CMR,Cameroon,Bulu,,1,0,45.38
CMR,Cameroon,Bamum,,1,0,45.38
CMR,Cameroon,Ghomala,,1,0,45.38
CMR,Cameroon,Bassa,,1,0,45.38
CMR,Cameroon,Yemba,,1,0,45.38
COD,DR Congo,French,4.8,0,0.0117,4.8117
COD,DR Congo,Lingala,,1,0.0117,4.8117
COD,DR Congo,Kikongo ya Leta,,1,0.0117,4.8117
COD,DR Congo,Swahili,0.0117,1,0.0117,4.8117
COD,DR Congo,Tshiluba,,1,0.0117,4.8117
COL,Colombia,Spanish,4.64,1,4.64,4.64
COL,Colombia,Wayuunaiki,,1,4.64,4.64
COL,Colombia,Nasa Yuwe,,1,4.64,4.64
COL,Colombia,Embera,,1,4.64,4.64
COL,Colombia,Palenquero,,1,4.64,4.64
COL,Colombia,Ticuna,,1,4.64,4.64
COL,Colombia,Wounaan,,1,4.64,4.64
COL,Colombia,Guambiano,,1,4.64,4.64
DEU,Germany,German,5.99,1,6.52,6.52
DEU,Germany,Danish,0.53,1,6.52,6.52
DEU,Germany,Low German,,1,6.52,6.52
DEU,Germany,North Frisian,,1,6.52,6.52
DEU,Germany,Saterland Frisian,,1,6.52,6.52
DEU,Germany,Upper Sorbian,,1,6.52,6.52
DEU,Germany,Lower Sorbian,,1,6.52,6.52
DEU,Germany,Romani,,1,6.52,6.52
DNK,Denmark,Danish,0.53,1,6.5255,6.5255
